File Name,Email,Matched Skills
armaan.pdf,arman@gmail.com,"r, sql, ds, leadership, ai, python, java"
Arman.docx,arman@gmail.com,"r, sql, ds, leadership, ai, ml, hadoop, python, java"
arman.txt,arman@gmail.com,"r, sql, ds, leadership, ai, python, java"
bhuvan.docx,bhuvan@gmail.com,"r, sql, ds, leadership, ai, ml, hadoop, python, java"
bhuvan.pdf,bhuvan@gmail.com,"r, sql, ds, leadership, ai, ml, hadoop"
bhuvan.txt,bhuvan@gmail.com,"r, sql, ds, leadership, ai, ml, hadoop"
emily.docx,johndoe@email.com,"r, sql, ai, ml, python, java"
emily.pdf,johndoe@email.com,"r, sql, ai, ml, python, java"
emily.txt,johndoe@gmail.com,"r, sql, ai, ml, python, java"
hasley.docx,johndoe@email.com,"r, sql, ai, ml, python, java"
hasley.pdf,johndoe@email.com,"r, sql, ai, ml, python, java"
hasley.txt,johndoe@gmail.com,"r, sql, ai, ml, python, java"
john smith.pdf,john.smith@email.com,"r, sql, ai, python, java"
john smith.txt,john.smith@gmail.com,"r, sql, ai, python, java"
johnny.pdf,johndoe@email.com,"r, sql, ds, ai, ml, python"
johnny.txt.txt,johndoe@email.com,"r, sql, ds, ai, ml, python"
Rohan.pdf,gaurav@gmail.com,"r, sql, ds, leadership, ai, ml, hadoop"
rohan.txt,gaurav@gmail.com,"r, sql, ds, leadership, ai, ml, hadoop"
rohit.txt,gaurav@gmail.com,"r, ds, leadership, ai, ml, python"
snoop dogg.txt,johndoe@email.com,"r, sql, ai, ml, python, java"
tupac.txt,johndoe@email.com,"r, sql, ai, ml, python, java"
yash.txt,john.smith@email.com,"r, sql, ai, ml, python, java"
